#lab INRiM
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 300 
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
0.000000	0.134264	0.132495
0.100000	0.111614	0.149285
0.200000	0.120259	0.123705
0.300000	0.117239	0.117302
0.400000	0.108635	0.128122
0.500000	0.115801	0.095632
0.600000	0.127200	0.134063
0.700000	0.125508	0.114648
0.800000	0.124120	0.112823
0.900000	0.119307	0.115030
1.000000	0.136980	0.124966
1.100000	0.126512	0.115370
1.200000	0.132419	0.110734
1.300000	0.108280	0.135369
1.400000	0.114310	0.113388
1.500000	0.126704	0.113424
1.600000	0.123704	0.122152
1.700000	0.113965	0.133087
1.800000	0.108665	0.130975
1.900000	0.115718	0.132082
2.000000	0.114827	0.123138
2.100000	0.114229	0.128559
2.200000	0.126765	0.122046
2.300000	0.114594	0.116719
2.400000	0.118100	0.120834
2.500000	0.123046	0.096135
2.600000	0.116124	0.115641
2.700000	0.120623	0.124106
2.800000	0.133777	0.119627
2.900000	0.126552	0.116507
3.000000	0.114239	0.131805
3.100000	0.118161	0.126257
3.200000	0.133787	0.122765
3.300000	0.135662	0.119630
3.400000	0.127110	0.098201
3.500000	0.118385	0.100491
3.600000	0.117604	0.116712
3.700000	0.123704	0.114291
3.800000	0.132744	0.117829
3.900000	0.134973	0.116856
4.000000	0.115618	0.105884
4.100000	0.119387	0.119117
4.200000	0.122022	0.124252
4.300000	0.146283	0.110678
4.400000	0.143080	0.110974
4.500000	0.139807	0.112849
4.600000	0.127616	0.120443
4.700000	0.126775	0.102751
4.800000	0.132551	0.119659
4.900000	0.134263	0.138870
5.000000	0.123106	0.123271
5.100000	0.127627	0.108678
5.200000	0.138013	0.117969
5.300000	0.140009	0.119278
5.400000	0.137110	0.130047
5.500000	0.124413	0.109601
5.600000	0.119084	0.101591
5.700000	0.132065	0.114434
5.800000	0.143475	0.111874
5.900000	0.130037	0.119695
6.000000	0.133879	0.123758
6.100000	0.138722	0.110264
6.200000	0.133473	0.124567
6.300000	0.124139	0.126769
6.400000	0.121181	0.109879
6.500000	0.127859	0.111424
6.600000	0.134162	0.125011
6.700000	0.132399	0.106308
6.800000	0.137892	0.104499
6.900000	0.128274	0.119899
7.000000	0.117705	0.107199
7.100000	0.125965	0.098150
7.200000	0.116124	0.110312
7.300000	0.128517	0.109587
7.400000	0.130504	0.114086
