#lab INRiM
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#dbm 5
#hv keithley6487
#Kepco spento
#Voltage	Current	SD
#V	pA	pA
0.000000	-0.026664	0.045382
1.000000	-0.023037	0.040786
2.000000	-0.020868	0.044705
3.000000	-0.024192	0.041061
4.000000	-0.023787	0.040011
5.000000	-0.015296	0.049202
6.000000	-0.033381	0.034994
7.000000	-0.019693	0.053879
8.000000	-0.025681	0.045164
9.000000	-0.020950	0.046237
10.000000	-0.024780	0.039650
11.000000	-0.025154	0.052487
12.000000	-0.023017	0.050644
13.000000	-0.020089	0.051480
14.000000	-0.012794	0.054549
15.000000	-0.025732	0.048974
16.000000	-0.011031	0.040442
17.000000	-0.012854	0.054222
18.000000	-0.017039	0.040820
19.000000	-0.023128	0.048302
20.000000	-0.019086	0.039090
21.000000	-0.012530	0.043434
22.000000	-0.021679	0.036881
23.000000	-0.016005	0.049357
24.000000	-0.014010	0.045044
25.000000	-0.023523	0.053458
26.000000	-0.004749	0.051496
27.000000	-0.020241	0.046092
28.000000	-0.008386	0.048390
29.000000	-0.000545	0.048844
30.000000	-0.003017	0.058174
31.000000	-0.002510	0.049761
32.000000	-0.020362	0.060702
33.000000	0.000195	0.048601
34.000000	-0.013645	0.057354
35.000000	-0.001517	0.047609
36.000000	0.003863	0.064031
37.000000	-0.011092	0.044503
38.000000	-0.002672	0.062019
39.000000	0.004319	0.052277
40.000000	-0.003432	0.051410
41.000000	0.003741	0.054709
42.000000	0.005605	0.060345
43.000000	0.004481	0.055385
44.000000	0.002475	0.055274
45.000000	-0.004921	0.062220
46.000000	0.009506	0.052568
47.000000	0.001279	0.056719
48.000000	0.001228	0.062762
49.000000	0.005393	0.059617
50.000000	0.006649	0.058396
51.000000	0.005079	0.061062
52.000000	-0.033898	0.068708
53.000000	-0.056420	0.063755
54.000000	-0.115466	0.064506
55.000000	-0.267159	0.058964
56.000000	-0.494753	0.067156
57.000000	-0.982907	0.050966
58.000000	-1.760810	0.060686
59.000000	-2.970163	0.063835
60.000000	-4.989130	0.069819
61.000000	-8.802801	0.071702
62.000000	-13.787770	0.206466
63.000000	-22.090710	0.125483
64.000000	-34.222050	0.657843
65.000000	-53.704950	0.921486
66.000000	-85.448660	1.981072
67.000000	-126.336500	4.423789
68.000000	-178.931000	5.436432
69.000000	-266.375400	4.103393
70.000000	-372.165800	5.139806
71.000000	-522.707500	15.660520
72.000000	-713.520000	14.488410
73.000000	-928.097800	2.933848
