#lab INRiM
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
150.000000	0.479331	0.560521
150.300000	0.150305	0.548303
150.600000	0.077215	0.562934
150.900000	0.051369	0.576348
151.200000	0.046019	0.585110
151.500000	0.035027	0.600255
151.800000	0.039312	0.621494
152.100000	0.030529	0.658162
152.400000	0.050865	0.691073
152.700000	0.052983	0.700588
153.000000	0.049650	0.722000
153.300000	0.045071	0.724047
153.600000	0.051180	0.731034
153.900000	0.070491	0.696747
154.200000	0.084725	0.668297
154.500000	0.128920	0.657963
154.800000	0.163265	0.622231
155.100000	0.207523	0.619263
155.400000	0.248019	0.612686
155.700000	0.314149	0.603581
156.000000	0.349307	0.605213
156.300000	0.430627	0.647101
156.600000	0.496607	0.688736
156.900000	0.565231	0.711853
157.200000	0.632824	0.743527
157.500000	0.699350	0.768620
157.800000	0.756099	0.776056
158.100000	0.839434	0.733476
158.400000	0.947625	0.708253
158.700000	1.022004	0.678141
159.000000	1.121350	0.670846
159.300000	1.221131	0.643557
159.600000	1.345321	0.619644
159.900000	1.470139	0.624440
160.200000	1.607327	0.612003
160.500000	1.759178	0.622830
160.800000	1.914808	0.660464
161.100000	2.091025	0.698121
161.400000	2.250303	0.698679
161.700000	2.444292	0.672258
162.000000	2.645232	0.661124
162.300000	2.892172	0.667413
162.600000	3.194009	0.676917
162.900000	3.477748	0.697855
163.200000	3.765703	0.722025
163.500000	4.147694	0.738339
163.800000	4.465670	0.733956
164.100000	4.817711	0.752715
164.400000	5.173561	0.761655
164.700000	5.495225	0.774396
165.000000	5.961009	0.769170
165.300000	6.498173	0.756936
165.600000	6.983978	0.747828
165.900000	7.488984	0.742037
166.200000	8.027993	0.761006
166.500000	8.450552	0.781795
166.800000	8.893528	0.748153
167.100000	9.504951	0.717871
167.400000	10.095120	0.745717
167.700000	10.893980	0.764234
168.000000	11.527430	0.735347
168.300000	12.097050	0.691808
168.600000	12.922310	0.701570
168.900000	13.843870	0.673645
169.200000	14.585720	0.681528
169.500000	15.263390	0.658490
169.800000	16.335510	0.631433
170.100000	17.328950	0.604084
170.400000	18.442670	0.629477
170.700000	19.873420	0.631215
171.000000	21.469880	0.678284
171.300000	22.839740	0.854526
171.600000	24.090120	0.805315
171.900000	25.813040	0.861222
172.200000	27.535780	0.916092
172.500000	30.881050	0.786791
172.800000	33.470420	0.746583
173.100000	35.715940	0.686572
173.400000	35.475310	0.692380
173.700000	38.251460	0.634414
174.000000	40.481080	1.007141
174.300000	45.435080	0.745283
174.600000	47.223830	0.977759
174.900000	52.581870	0.792574
175.200000	55.566810	1.507908
174.900000	51.422150	1.003149
174.600000	47.699590	0.842898
174.300000	44.232970	0.725101
174.000000	40.370650	0.725481
173.700000	37.587650	0.709394
173.400000	33.039940	1.300293
173.100000	30.287610	0.897765
172.800000	30.042920	0.823153
172.500000	27.743550	0.760107
172.200000	25.947430	0.690656
171.900000	23.848980	0.669680
171.600000	19.650470	0.725100
171.300000	18.189460	0.719005
171.000000	16.760440	0.772955
170.700000	15.950600	0.901872
170.400000	15.107760	0.672159
170.100000	14.636430	0.690577
169.800000	13.508430	0.673229
169.500000	12.604310	0.598291
169.200000	11.722660	0.578595
168.900000	10.761830	0.576134
168.600000	9.909575	0.637877
168.300000	9.128038	0.622031
168.000000	8.450057	0.671173
167.700000	7.707566	0.737664
167.400000	6.640069	0.706746
167.100000	6.343280	0.689270
166.800000	5.536249	0.667110
166.500000	5.097398	0.616545
166.200000	4.695944	0.598313
165.900000	4.341898	0.551713
165.600000	3.976849	0.568682
165.300000	3.647008	0.588107
165.000000	3.337746	0.630635
164.700000	3.052042	0.646083
164.400000	2.791546	0.682915
164.100000	2.565468	0.695432
163.800000	2.345947	0.672971
163.500000	2.142342	0.684761
163.200000	1.975670	0.664179
162.900000	1.794863	0.653270
162.600000	1.628909	0.628554
162.300000	1.506057	0.584810
162.000000	1.363438	0.603251
161.700000	1.238479	0.618276
161.400000	1.132568	0.635257
161.100000	1.034652	0.672333
160.800000	0.940313	0.659235
160.500000	0.834392	0.660529
160.200000	0.756324	0.682076
159.900000	0.688168	0.717504
159.600000	0.615908	0.735500
159.300000	0.550140	0.712322
159.000000	0.480392	0.720591
158.700000	0.430644	0.686559
158.400000	0.385143	0.671861
158.100000	0.321897	0.615349
157.800000	0.283771	0.629540
157.500000	0.252830	0.666376
157.200000	0.206813	0.706169
156.900000	0.178950	0.718951
156.600000	0.141027	0.724220
156.300000	0.128920	0.756424
156.000000	0.119782	0.767664
155.700000	0.089793	0.781392
155.400000	0.065334	0.767860
155.100000	0.067025	0.735712
154.800000	0.069091	0.674592
154.500000	0.056029	0.644384
154.200000	0.050243	0.608119
153.900000	0.026920	0.607053
153.600000	0.041367	0.591000
153.300000	0.013079	0.588728
153.000000	0.013839	0.572411
152.700000	0.018914	0.574080
152.400000	0.004244	0.576648
152.100000	-0.005503	0.585098
151.800000	0.012886	0.560201
151.500000	0.004902	0.545523
151.200000	-0.002303	0.521342
150.900000	-0.004218	0.503094
150.600000	-0.019324	0.506309
150.300000	-0.019001	0.481375
150.000000	-0.028018	0.496835
