#lab INRiM
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 300 
#d 0.5
#N 20
#dbm 1
#300K
#Voltage	Current	SD
#V	pA	pA
0.000000	0.146343	0.083078
0.100000	0.148300	0.079357
0.200000	0.141429	0.070161
0.300000	0.134944	0.073982
0.400000	0.140861	0.070738
0.500000	0.142250	0.069165
0.600000	0.139574	0.075423
0.700000	0.146972	0.069174
0.800000	0.141743	0.070533
0.900000	0.145502	0.075627
1.000000	0.147286	0.075010
1.100000	0.135835	0.073362
1.200000	0.139949	0.070028
1.300000	0.144459	0.065484
1.400000	0.147337	0.072117
1.500000	0.140558	0.067397
1.600000	0.147215	0.079355
1.700000	0.138643	0.070308
1.800000	0.150661	0.069445
1.900000	0.138541	0.066180
2.000000	0.135329	0.064945
2.100000	0.138166	0.066219
2.200000	0.144854	0.075231
2.300000	0.141540	0.068173
2.400000	0.151056	0.070967
2.500000	0.138612	0.065728
2.600000	0.142604	0.075771
2.700000	0.141551	0.065112
2.800000	0.131742	0.058150
2.900000	0.135896	0.071237
3.000000	0.150407	0.061376
3.100000	0.135744	0.072040
3.200000	0.143568	0.064051
3.300000	0.142037	0.059201
3.400000	0.149252	0.063185
3.500000	0.138420	0.062243
3.600000	0.148269	0.067073
3.700000	0.135268	0.076867
3.800000	0.142341	0.067955
3.900000	0.149009	0.074738
4.000000	0.134407	0.068933
4.100000	0.154866	0.067623
4.200000	0.153336	0.075065
4.300000	0.148675	0.069642
4.400000	0.151360	0.068588
4.500000	0.146182	0.069286
4.600000	0.149212	0.070149
4.700000	0.146192	0.075019
4.800000	0.145077	0.075260
4.900000	0.147246	0.068985
5.000000	0.139453	0.061872
5.100000	0.138035	0.063500
5.200000	0.141246	0.067530
5.300000	0.149799	0.067223
5.400000	0.155961	0.068727
5.500000	0.150194	0.067138
5.600000	0.140385	0.063604
5.700000	0.142777	0.066740
5.800000	0.144054	0.065259
5.900000	0.142838	0.064254
6.000000	0.144783	0.065816
6.100000	0.147975	0.066697
6.200000	0.155960	0.073398
6.300000	0.141105	0.060508
6.400000	0.137994	0.059210
6.500000	0.149272	0.068592
6.600000	0.139382	0.066939
6.700000	0.145249	0.073675
6.800000	0.158838	0.072908
6.900000	0.147488	0.074888
7.000000	0.142422	0.070669
7.100000	0.137984	0.063989
7.200000	0.148451	0.069977
7.300000	0.141115	0.071662
7.400000	0.143891	0.079810
7.500000	0.141186	0.067874
7.600000	0.144622	0.064258
7.700000	0.137234	0.060514
7.800000	0.142037	0.073954
7.900000	0.144784	0.059268
8.000000	0.131813	0.055884
8.100000	0.140831	0.073444
8.200000	0.142402	0.066559
8.300000	0.130323	0.068559
8.400000	0.136130	0.068361
8.500000	0.129289	0.070801
8.600000	0.144753	0.068121
8.700000	0.136444	0.061174
8.800000	0.141541	0.063792
8.900000	0.128773	0.065508
9.000000	0.135561	0.081022
9.100000	0.153174	0.057517
9.200000	0.143313	0.090347
9.300000	0.146233	0.068466
9.400000	0.148644	0.073027
9.500000	0.136657	0.067972
9.600000	0.142899	0.059346
9.700000	0.140639	0.072715
9.800000	0.140517	0.067557
9.900000	0.130930	0.075096
10.000000	0.142960	0.063176
10.100000	0.152079	0.063505
10.200000	0.140284	0.076435
10.300000	0.140092	0.062424
10.400000	0.140953	0.063842
10.500000	0.140315	0.063569
