#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Current	SD
#V	pA	pA
205.000000	-0.156318	0.535331
205.100000	-0.011927	0.419669
205.200000	0.040641	0.345859
205.300000	-0.014764	0.416459
205.400000	0.025524	0.519364
205.500000	0.029388	0.468983
205.600000	0.010953	0.478824
205.700000	0.012979	0.495025
205.800000	0.072132	0.437560
205.900000	0.061310	0.470402
206.000000	0.035068	0.319631
206.100000	0.003541	0.354223
206.200000	-0.031524	0.412217
206.300000	0.002374	0.621254
206.400000	0.080082	0.555653
206.500000	-0.019720	0.461169
206.600000	0.024858	0.470413
206.700000	0.034498	0.407407
206.800000	-0.040124	0.308799
206.900000	-0.009947	0.331100
207.000000	-0.021630	0.306345
207.100000	-0.023407	0.411557
207.200000	0.020298	0.456277
207.300000	0.010403	0.563642
207.400000	-0.023755	0.493123
207.500000	0.019914	0.426085
207.600000	0.015172	0.408757
207.700000	-0.003646	0.415903
207.800000	-0.036871	0.289641
207.900000	-0.066492	0.272055
208.000000	0.002010	0.354288
208.100000	-0.018472	0.420930
208.200000	-0.063416	0.407321
208.300000	-0.050243	0.437460
208.400000	0.024027	0.483806
208.500000	-0.029855	0.491379
208.600000	-0.008171	0.518531
208.700000	0.001167	0.436375
208.800000	-0.064244	0.334857
208.900000	-0.082404	0.351094
209.000000	-0.061068	0.496783
209.100000	-0.030486	0.620852
209.200000	0.007740	0.530285
209.300000	-0.029560	0.752130
209.400000	-0.122356	0.721555
209.500000	-0.117240	0.766333
209.600000	-0.078285	0.751192
209.700000	-0.049867	0.704361
209.800000	-0.023045	0.725298
209.900000	-0.108675	0.779732
210.000000	-0.178462	0.715979
210.100000	-0.106273	0.724506
210.200000	-0.153313	0.752376
210.300000	-0.100961	0.723469
210.400000	-0.126236	0.786393
210.500000	-0.147778	0.694328
210.600000	-0.166126	0.618361
210.700000	-0.175306	0.519488
210.800000	-0.182275	0.699841
210.900000	-0.054864	0.703753
211.000000	-0.016579	0.789480
211.100000	-0.099646	0.756713
211.200000	-0.185152	0.708706
211.300000	-0.263232	0.672112
211.400000	-0.262130	0.739721
211.500000	-0.196138	0.788563
211.600000	-0.200666	0.942625
211.700000	-0.144960	0.910693
211.800000	-0.138186	0.839877
211.900000	-0.264210	0.852809
212.000000	-0.216884	0.844087
212.100000	-0.291780	0.742063
212.200000	-0.245957	0.791275
212.300000	-0.196029	0.813291
212.400000	-0.191664	0.917287
212.500000	-0.220018	0.870547
212.600000	-0.225476	0.811580
212.700000	-0.322891	0.762018
212.800000	-0.296137	0.719438
212.900000	-0.275883	0.803141
213.000000	-0.253524	0.757077
213.100000	-0.214538	0.698958
213.200000	-0.299822	0.653923
213.300000	-0.345760	0.666990
213.400000	-0.334443	0.692965
213.500000	-0.338124	0.554610
213.600000	-0.321299	0.758975
213.700000	-0.280935	0.689822
213.800000	-0.334631	0.598004
213.900000	-0.337739	0.586354
214.000000	-0.316551	0.593847
214.100000	-0.363418	0.468648
214.200000	-0.373095	0.473476
214.300000	-0.452675	0.469750
214.400000	-0.448117	0.518633
214.500000	-0.398360	0.481742
214.600000	-0.408059	0.555244
214.700000	-0.351712	0.536214
214.800000	-0.409533	0.326297
214.900000	-0.474240	0.364717
215.000000	-0.445874	0.328355
215.100000	-0.505370	0.326962
215.200000	-0.489755	0.408695
215.300000	-0.433958	0.441198
215.400000	-0.455130	0.535702
215.500000	-0.515049	0.497459
215.600000	-0.511917	0.457035
215.700000	-0.508381	0.466082
215.800000	-0.501297	0.433992
215.900000	-0.517024	0.306515
216.000000	-0.612375	0.456086
216.100000	-0.647459	0.570964
216.200000	-0.639961	0.592255
216.300000	-0.609945	0.555487
216.400000	-0.520693	0.497989
216.500000	-0.565495	0.433320
216.600000	-0.665112	0.481315
216.700000	-0.729574	0.409525
216.800000	-0.727091	0.531807
216.900000	-0.674487	0.587345
217.000000	-0.610063	0.459819
217.100000	-0.711951	0.493674
217.200000	-0.751919	0.392698
217.300000	-0.766938	0.394154
217.400000	-0.819320	0.506530
217.500000	-0.694469	0.516520
217.600000	-0.682126	0.540392
217.700000	-0.794208	0.504416
217.800000	-0.756884	0.486325
217.900000	-0.917183	0.440678
218.000000	-0.867740	0.435907
218.100000	-0.791329	0.504473
218.200000	-0.795373	0.628526
218.300000	-0.811546	0.528352
218.400000	-0.926263	0.457533
218.500000	-1.015736	0.473528
218.600000	-0.980398	0.365489
218.700000	-0.982881	0.316735
218.800000	-0.975260	0.472342
218.900000	-0.904028	0.499313
219.000000	-0.978787	0.503712
219.100000	-1.060983	0.509794
219.200000	-1.012026	0.567368
219.300000	-1.084403	0.576989
219.400000	-1.121615	0.463323
219.500000	-1.115159	0.590593
219.600000	-1.093026	0.573016
219.700000	-1.108734	0.407216
219.800000	-1.084980	0.466022
219.900000	-1.229814	0.447035
220.000000	-1.237921	0.428698
220.100000	-1.237405	0.467713
220.200000	-1.278903	0.518375
220.300000	-1.270046	0.539474
220.400000	-1.183846	0.501705
220.500000	-1.220602	0.591823
220.600000	-1.296738	0.632483
220.700000	-1.357542	0.491962
220.800000	-1.453085	0.538580
220.900000	-1.471194	0.599078
221.000000	-1.413095	0.584993
221.100000	-1.440153	0.452472
221.200000	-1.388379	0.588581
221.300000	-1.384051	0.676089
221.400000	-1.523443	0.644011
221.500000	-1.574407	0.555662
221.600000	-1.602650	0.597096
221.700000	-1.649519	0.457989
221.800000	-1.638990	0.387649
221.900000	-1.622299	0.437393
222.000000	-1.671945	0.346641
222.100000	-1.677508	0.392241
222.200000	-1.753959	0.534020
222.300000	-1.864337	0.530891
222.400000	-1.850180	0.564666
222.500000	-1.812978	0.499990
222.600000	-1.821855	0.503301
222.700000	-1.895671	0.302034
222.800000	-1.993858	0.375413
222.900000	-2.069224	0.393037
223.000000	-2.055786	0.493948
223.100000	-2.093981	0.665756
223.200000	-2.049999	0.527358
223.300000	-2.106820	0.450620
223.400000	-2.219206	0.452240
223.500000	-2.250012	0.423470
223.600000	-2.292969	0.667786
223.700000	-2.287315	0.733235
223.800000	-2.259761	0.532812
223.900000	-2.317158	0.601102
224.000000	-2.450511	0.471568
224.100000	-2.472258	0.438619
224.200000	-2.617264	0.508806
224.300000	-2.672878	0.525789
224.400000	-2.718035	0.417493
224.500000	-2.864277	0.423947
224.600000	-2.909180	0.507024
224.700000	-2.874867	0.439346
224.800000	-2.993048	0.501062
224.900000	-3.065211	0.733848
225.000000	-3.120552	0.598879
225.100000	-3.177971	0.569890
225.200000	-3.244835	0.537753
225.300000	-3.275408	0.708386
225.400000	-3.316522	0.568310
225.500000	-3.377355	0.421644
225.600000	-3.450207	0.552053
225.700000	-3.562551	0.542008
225.800000	-3.602124	0.522535
225.900000	-3.580062	0.576599
226.000000	-3.713039	0.392572
226.100000	-3.695467	0.939848
226.200000	-3.850109	1.154607
226.300000	-3.882183	1.133824
226.400000	-3.728219	1.330943
226.500000	-3.894393	1.384356
226.600000	-4.037333	1.239321
226.700000	-4.093362	1.189471
226.800000	-4.067005	0.979239
226.900000	-4.181304	0.965211
227.000000	-4.161138	1.097287
227.100000	-4.166194	0.495379
227.200000	-4.177543	1.068580
227.300000	-4.681522	1.906598
227.400000	-4.410370	2.912618
227.500000	-4.326622	2.921035
227.600000	-4.616714	2.787309
227.700000	-4.781087	2.582054
227.800000	-4.881554	2.492047
227.900000	-4.875524	2.505422
228.000000	-4.791179	2.540769
228.100000	-4.760402	2.267779
228.200000	-4.822289	2.210568
228.300000	-4.930834	2.248356
228.400000	-5.161338	2.232763
228.500000	-5.288154	2.012910
228.600000	-5.369335	1.958546
228.700000	-5.367583	2.057163
228.800000	-5.354662	2.075443
228.900000	-5.316192	1.864406
229.000000	-5.482621	1.865009
229.100000	-5.693010	1.797568
229.200000	-5.698888	1.757953
229.300000	-5.892778	1.726659
229.400000	-5.813825	1.745693
229.500000	-5.798736	1.753063
229.600000	-5.852424	1.614843
229.700000	-5.976341	1.543269
229.800000	-6.158953	1.498168
229.900000	-6.322371	1.401572
230.000000	-6.343712	1.458862
230.100000	-6.358163	1.439498
230.200000	-6.436630	1.338532
230.300000	-6.456227	1.270762
230.400000	-7.067958	1.429413
230.500000	-7.215609	1.332050
230.600000	-6.903971	1.246812
230.700000	-6.969466	1.286397
230.800000	-7.031517	1.234249
230.900000	-7.114999	1.055285
231.000000	-7.308555	1.079038
231.100000	-7.424435	1.141939
231.200000	-7.585645	1.145859
231.300000	-7.600815	1.062703
231.400000	-7.647410	0.985258
231.500000	-7.762510	0.959063
231.600000	-7.887440	0.988392
231.700000	-8.031754	0.936593
231.800000	-8.220619	0.851445
231.900000	-8.290065	0.781052
232.000000	-8.253238	0.814068
232.100000	-8.374549	0.832676
232.200000	-8.564906	0.840593
232.300000	-8.647911	0.769857
232.400000	-8.783480	0.811853
232.500000	-8.893219	0.830005
232.600000	-8.988710	0.797098
232.700000	-9.155381	0.842446
232.800000	-9.254926	0.774796
232.900000	-9.470503	0.826850
233.000000	-9.605971	0.849748
233.100000	-9.666653	0.840398
233.200000	-9.767989	0.826772
233.300000	-9.960135	0.705801
233.400000	-10.067690	0.780953
233.500000	-10.161910	0.682573
233.600000	-10.381440	0.657518
233.700000	-10.309580	0.633180
233.800000	-10.416890	0.574500
233.900000	-10.653670	0.525758
234.000000	-10.734630	0.534655
234.100000	-10.851980	0.567980
234.200000	-11.030980	0.537233
234.300000	-11.120150	0.572134
234.400000	-11.262850	0.532735
234.500000	-11.489090	0.484462
234.600000	-11.808180	0.459804
234.700000	-11.968190	0.488828
234.800000	-12.136470	0.495478
234.900000	-12.194290	0.581747
235.000000	-12.351610	0.503657
235.100000	-12.435610	0.584009
235.200000	-12.589100	0.551257
235.300000	-12.823360	0.555778
235.400000	-13.004180	0.501634
235.500000	-13.206580	0.554563
235.600000	-13.382030	0.572048
235.700000	-13.511180	0.546676
235.800000	-13.724370	0.563598
235.900000	-13.858130	0.513798
236.000000	-14.004510	0.576881
236.100000	-14.192370	0.537884
236.200000	-14.378900	0.536289
236.300000	-14.630840	0.533146
236.400000	-14.832340	0.587754
236.500000	-15.026330	0.513793
236.600000	-15.149880	0.465221
236.700000	-15.367250	0.504239
236.800000	-15.541870	0.496055
236.900000	-15.740830	0.532614
237.000000	-16.072590	0.539522
237.100000	-16.314720	0.454304
237.200000	-16.400850	0.537223
237.300000	-16.570660	0.507328
237.400000	-16.864990	0.491258
237.500000	-17.130910	0.473310
237.600000	-17.388380	0.468303
237.700000	-17.581330	0.437856
237.800000	-17.744620	0.482441
237.900000	-18.028810	0.468933
238.000000	-18.244970	0.516961
238.100000	-18.502440	0.498912
238.200000	-18.714180	0.551979
238.300000	-18.966820	0.554563
238.400000	-19.200640	0.526440
238.500000	-19.419640	0.582743
238.600000	-19.726740	0.593356
238.700000	-20.018940	0.516328
238.800000	-20.293110	0.505134
238.900000	-20.582150	0.501142
239.000000	-20.821680	0.437031
239.100000	-21.057460	0.609692
239.200000	-21.302180	0.541328
239.300000	-21.356740	0.407567
239.400000	-21.697990	0.446559
239.500000	-21.980030	0.413636
239.600000	-22.177880	0.521689
239.700000	-22.547700	0.549696
239.800000	-22.789830	0.450570
239.900000	-23.114430	0.449877
240.000000	-23.429890	0.451232
240.100000	-23.765540	0.443760
240.200000	-24.144630	0.401262
240.300000	-24.429660	0.425758
240.400000	-24.773320	0.391334
240.500000	-25.099970	0.459913
240.600000	-25.344130	0.429384
240.700000	-25.495940	0.457389
240.800000	-25.895500	0.476152
240.900000	-26.208400	0.486912
241.000000	-26.544730	0.406942
241.100000	-26.920060	0.426378
241.200000	-27.143630	0.406478
241.300000	-27.562970	0.490967
241.400000	-28.017200	0.444433
241.500000	-28.344770	0.396294
241.600000	-28.686040	0.452853
241.700000	-28.904840	0.478752
241.800000	-29.509040	0.449583
241.900000	-29.870530	0.444201
242.000000	-30.045190	0.496071
242.100000	-30.520240	0.506115
242.200000	-30.957790	0.484436
242.300000	-31.280180	0.513358
242.400000	-31.926320	0.414749
242.500000	-32.339410	0.435176
242.600000	-32.807020	0.463409
242.700000	-33.237490	0.450198
242.800000	-33.623820	0.464828
242.900000	-33.996090	0.467547
243.000000	-33.982260	0.444938
243.100000	-34.124300	0.491615
243.200000	-34.503170	0.540220
243.300000	-34.884730	0.526878
243.400000	-35.338940	0.484301
243.500000	-35.771710	0.444596
243.600000	-36.162590	0.455482
243.700000	-36.708960	0.487632
243.800000	-37.190720	0.444729
243.900000	-37.470820	0.536738
244.000000	-38.155080	0.529917
244.100000	-38.977920	0.511633
244.200000	-39.704000	0.459440
244.300000	-40.285120	0.486447
244.400000	-40.463560	0.587356
244.500000	-41.004760	0.466087
244.600000	-41.728260	0.371568
244.700000	-42.267120	0.518009
244.800000	-42.894830	0.447115
244.900000	-43.175260	0.564164
245.000000	-43.846250	0.537749
245.100000	-44.541780	0.503431
245.200000	-44.798390	0.518495
245.300000	-45.388600	0.442131
245.400000	-46.110830	0.449961
245.500000	-46.686040	0.427295
245.600000	-47.256750	0.507256
245.700000	-47.539120	0.547479
245.800000	-47.562250	0.500037
245.900000	-48.292900	0.545968
246.000000	-49.294410	0.459055
246.100000	-49.752000	0.563250
246.200000	-50.431170	0.565832
246.300000	-51.497560	0.591890
246.400000	-52.103110	0.468051
246.500000	-52.671710	0.425757
246.600000	-53.090970	0.498759
246.700000	-54.168420	0.503615
246.800000	-54.890920	0.506207
246.900000	-55.378330	0.490738
247.000000	-55.814770	0.493797
247.100000	-56.635110	0.425427
247.200000	-59.026460	2.659978
247.300000	-63.711720	0.792426
247.400000	-64.875240	0.526404
247.500000	-65.589740	0.569428
247.600000	-66.049940	0.909428
247.700000	-67.192060	0.657637
247.800000	-68.112280	0.541660
247.900000	-68.471440	0.733042
248.000000	-69.687070	0.463853
248.100000	-70.475680	0.793093
248.200000	-71.754470	0.477208
248.300000	-72.554760	0.521463
248.400000	-73.048480	0.898087
248.500000	-73.811910	0.622858
248.600000	-74.471570	0.517570
248.700000	-75.190820	0.564358
248.800000	-75.361470	0.938582
248.900000	-77.456970	0.809488
249.000000	-78.529250	0.587380
249.100000	-79.552730	0.712481
249.200000	-80.309680	0.618599
249.300000	-81.278620	0.904633
249.400000	-82.435010	0.878425
249.500000	-84.065660	0.976626
249.600000	-85.041610	1.108873
249.700000	-85.654240	0.741692
249.800000	-87.303690	1.197199
249.900000	-88.261800	1.360339
250.000000	-90.297330	1.094179
250.100000	-91.446530	1.469875
250.200000	-92.209080	1.329302
250.300000	-92.842420	0.988458
250.400000	-94.674430	1.383241
250.500000	-95.633000	1.636985
250.600000	-96.113900	1.034394
250.700000	-99.944340	1.747145
250.800000	-112.139300	1.826326
250.900000	-109.786500	1.300723
251.000000	-113.673800	1.675576
251.100000	-132.853700	28.290450
251.200000	-134.985000	28.648830
251.300000	-332.552200	95.651260
251.400000	-253.747100	60.355570
251.500000	-392.819100	145.019300
251.600000	-335.822500	75.557140
251.700000	-114.743400	1.982745
251.800000	-117.772100	1.867098
251.900000	-122.420900	2.588245
252.000000	-125.750200	2.018886
252.100000	-134.578200	5.863335
252.200000	-160.644300	18.324890
252.300000	-120.765700	1.002520
252.400000	-125.107200	2.909530
252.500000	-124.819500	1.321729
252.600000	-130.516400	5.676929
252.700000	-128.333200	1.420613
252.800000	-128.235500	5.398606
252.900000	-123.763600	1.392152
253.000000	-123.272400	1.198873
253.000000	-123.666200	1.000817
252.900000	-121.000300	0.649105
252.800000	-119.198900	0.951723
252.700000	-117.500000	1.033087
252.600000	-115.486300	0.905044
252.500000	-113.766500	0.880545
252.400000	-112.809400	1.168653
252.300000	-110.980800	1.149190
252.200000	-109.561700	0.939771
252.100000	-107.668600	0.848502
252.000000	-106.781300	1.232033
251.900000	-106.908400	0.834889
251.800000	-105.577900	0.654469
251.700000	-104.118700	0.774089
251.600000	-101.017300	1.977697
251.500000	-102.070500	0.935806
251.400000	-99.727860	2.347768
251.300000	-100.780600	1.267046
251.200000	-98.438330	1.126208
251.100000	-94.520510	1.764509
251.000000	-93.566400	1.046209
250.900000	-91.756070	0.751805
250.800000	-92.884370	1.084494
250.700000	-91.718040	1.262732
250.600000	-89.990780	1.313876
250.500000	-88.702630	0.934274
250.400000	-87.896700	0.678852
250.300000	-87.058830	0.693455
250.200000	-85.934460	0.757880
250.100000	-83.839570	0.837084
250.000000	-83.238430	1.013269
249.900000	-82.476270	0.826872
249.800000	-81.676420	0.846371
249.700000	-80.925070	0.699490
249.600000	-78.725630	0.541362
249.500000	-78.254050	0.492705
249.400000	-77.056380	0.708854
249.300000	-75.525300	0.642888
249.200000	-75.264110	0.886093
249.100000	-74.072860	0.996105
249.000000	-73.354480	0.662516
248.900000	-72.370990	0.808170
248.800000	-71.282330	0.751719
248.700000	-70.511440	0.779812
248.600000	-69.142310	0.800997
248.500000	-68.722870	0.679806
248.400000	-67.572280	0.678781
248.300000	-66.752610	0.715315
248.200000	-66.464560	0.660422
248.100000	-65.712880	0.726223
248.000000	-68.362820	0.835991
247.900000	-66.999110	0.798598
247.800000	-65.764360	0.725818
247.700000	-64.678480	0.661312
247.600000	-64.328140	0.999153
247.500000	-63.379600	0.688128
247.400000	-62.271440	0.733423
247.300000	-61.029620	0.844633
247.200000	-60.838290	0.596415
247.100000	-60.082430	0.510150
247.000000	-58.787310	0.649418
246.900000	-57.937380	0.610158
246.800000	-57.271400	0.653750
246.700000	-56.199550	0.566993
246.600000	-54.694390	0.593764
246.500000	-53.781350	0.601211
246.400000	-53.166880	0.724757
246.300000	-52.506440	0.629888
246.200000	-53.478440	1.072857
246.100000	-51.418750	1.201885
246.000000	-50.601260	0.564838
245.900000	-50.095730	0.779317
245.800000	-49.196930	0.564588
245.700000	-49.164410	1.119353
245.600000	-48.048300	0.903618
245.500000	-47.108370	0.612352
245.400000	-47.273000	1.088364
245.300000	-46.477760	1.198301
245.200000	-45.444560	0.693786
245.100000	-44.926650	0.684353
245.000000	-44.841230	1.132845
244.900000	-43.907670	0.668410
244.800000	-43.596950	1.001776
244.700000	-42.798660	0.611239
244.600000	-42.279590	0.604949
244.500000	-42.046220	0.650030
244.400000	-41.739740	0.603094
244.300000	-41.325860	0.778427
244.200000	-40.728120	0.793793
244.100000	-40.285800	0.861507
244.000000	-66.704910	20.407820
243.900000	-79.826260	1.135733
243.800000	-77.344440	1.164230
243.700000	-74.825830	0.923317
243.600000	-74.443340	0.718639
243.500000	-72.782710	0.873590
243.400000	-72.083690	0.925896
243.300000	-73.100050	0.677111
243.200000	-70.469710	0.981445
243.100000	-71.108120	0.677394
243.000000	-70.206010	0.746973
242.900000	-69.392850	0.934644
242.800000	-68.116380	0.930693
242.700000	-67.393180	0.861120
242.600000	-66.549820	0.940132
242.500000	-64.012230	0.716768
242.400000	-65.170760	0.771563
242.300000	-64.237910	0.620001
242.200000	-62.181240	0.951574
242.100000	-61.339430	0.793707
242.000000	-60.532220	0.547788
241.900000	-61.496360	0.838623
241.800000	-60.579900	0.979651
241.700000	-58.553380	1.074287
241.600000	-59.451080	1.041738
241.500000	-57.906100	0.879567
241.400000	-56.539600	0.833844
241.300000	-56.119040	1.009159
241.200000	-55.604700	0.756827
241.100000	-54.939750	0.654262
241.000000	-54.296110	0.593473
240.900000	-53.797330	0.918779
240.800000	-53.022860	0.762599
240.700000	-52.585280	0.790779
240.600000	-52.174600	0.783063
240.500000	-51.337430	0.798831
240.400000	-49.527390	0.798758
240.300000	-49.205700	1.045719
240.200000	-48.467120	0.895205
240.100000	-47.914780	0.824236
240.000000	-47.981400	1.020421
239.900000	-47.914160	0.863971
239.800000	-47.278870	0.795386
239.700000	-46.971150	0.761283
239.600000	-46.536290	1.141078
239.500000	-46.908140	0.807454
239.400000	-46.453710	0.904723
239.300000	-45.941830	0.815597
239.200000	-45.404990	0.833701
239.100000	-44.137860	0.971694
239.000000	-43.316580	0.854626
238.900000	-42.784980	0.729691
238.800000	-42.297320	0.764145
238.700000	-43.352360	1.667053
238.600000	-41.382220	0.888726
238.500000	-41.050340	0.903903
238.400000	-40.741440	0.958528
238.300000	-40.212670	0.834077
238.200000	-39.655610	0.775980
238.100000	-39.237430	0.754304
238.000000	-39.002780	0.674182
237.900000	-38.373480	0.705852
237.800000	-37.992020	0.684169
237.700000	-37.841820	0.710588
237.600000	-38.297990	0.640038
237.500000	-37.862130	0.783229
237.400000	-37.502190	0.707002
237.300000	-36.998400	0.751675
237.200000	-36.410060	0.840821
237.100000	-36.217340	0.978381
237.000000	-35.639110	0.545604
236.900000	-35.312580	0.724146
236.800000	-34.906880	0.678414
236.700000	-34.556330	0.780672
236.600000	-33.987270	0.719730
236.500000	-33.733440	0.711098
236.400000	-33.551710	0.804525
236.300000	-33.274000	0.816371
236.200000	-32.951030	0.714389
236.100000	-31.394630	0.928419
236.000000	-31.222310	0.925295
235.900000	-30.467120	0.713713
235.800000	-30.200320	0.802997
235.700000	-29.181870	0.703005
235.600000	-28.969060	0.739522
235.500000	-28.792830	0.709980
235.400000	-28.515590	0.661102
235.300000	-28.257000	0.698318
235.200000	-27.815240	0.738362
235.100000	-27.559850	0.705524
235.000000	-27.314950	0.721852
234.900000	-26.905910	0.721994
234.800000	-26.712580	0.608782
234.700000	-26.129010	0.565369
234.600000	-27.120470	0.937488
234.500000	-27.170810	0.617594
234.400000	-26.890820	0.723557
234.300000	-26.560080	0.720175
234.200000	-26.353260	0.830004
234.100000	-28.523320	1.857573
234.000000	-26.224740	1.457867
233.900000	-25.523250	0.646634
233.800000	-25.186600	0.568729
233.700000	-24.906230	0.590404
233.600000	-24.891390	0.523824
233.500000	-24.464810	0.633341
233.400000	-24.278110	0.673940
233.300000	-23.945560	0.617576
233.200000	-23.707430	0.679801
233.100000	-23.453090	0.730643
233.000000	-23.231520	0.721373
232.900000	-23.025650	0.770434
232.800000	-22.646400	0.639900
232.700000	-22.551760	0.659113
232.600000	-22.201710	0.630506
232.500000	-21.975880	0.628954
232.400000	-21.848720	0.557992
232.300000	-21.744980	0.714023
232.200000	-21.907230	0.668633
232.100000	-21.753030	0.676229
232.000000	-21.620650	0.697779
231.900000	-21.349230	0.705277
231.800000	-21.182970	0.776597
231.700000	-20.884660	0.768617
231.600000	-20.614590	0.619183
231.500000	-20.494900	0.675256
231.400000	-20.329190	0.665338
231.300000	-20.135870	0.668009
231.200000	-19.938930	0.674497
231.100000	-19.687630	0.645397
231.000000	-19.497510	0.704068
230.900000	-19.373660	0.632404
230.800000	-19.188060	0.684100
230.700000	-18.885880	0.725876
230.600000	-18.778050	0.805598
230.500000	-18.579910	0.718690
230.400000	-18.378680	0.687379
230.300000	-18.199230	0.716926
230.200000	-17.977980	0.657001
230.100000	-17.783180	0.622339
230.000000	-17.690890	0.579356
229.900000	-17.509020	0.766482
229.800000	-17.404390	0.756626
229.700000	-17.123990	0.665890
229.600000	-16.906780	0.724411
229.500000	-16.739690	0.763357
229.400000	-16.595990	0.666761
229.300000	-16.351000	0.612959
229.200000	-16.143060	0.533079
229.100000	-16.021840	0.621850
229.000000	-15.809710	0.549872
228.900000	-15.648050	0.631738
228.800000	-15.525690	0.716354
228.700000	-15.291390	0.658197
228.600000	-15.171000	0.619343
228.500000	-15.074500	0.692413
228.400000	-14.778410	0.534570
228.300000	-14.674020	0.512965
228.200000	-14.492390	0.667960
228.100000	-14.280110	0.651077
228.000000	-14.172890	0.687666
227.900000	-13.940770	0.709269
227.800000	-13.779200	0.703269
227.700000	-13.669380	0.648299
227.600000	-13.443670	0.641212
227.500000	-13.329380	0.563730
227.400000	-13.169780	0.615279
227.300000	-12.982980	0.743042
227.200000	-12.439690	0.583329
227.100000	-12.348060	0.510120
227.000000	-12.154340	0.586703
226.900000	-12.011900	0.661807
226.800000	-11.992220	0.678579
226.700000	-11.793510	0.589427
226.600000	-11.597820	0.601492
226.500000	-11.538610	0.666296
226.400000	-11.357870	0.657699
226.300000	-11.219320	0.547540
226.200000	-11.163430	0.607711
226.100000	-11.008640	0.580336
226.000000	-10.875090	0.548756
225.900000	-10.823380	0.574328
225.800000	-10.718230	0.629024
225.700000	-10.525910	0.636718
225.600000	-10.452580	0.621023
225.500000	-10.345510	0.680799
225.400000	-10.247130	0.534110
225.300000	-10.115330	0.560728
225.200000	-9.960830	0.647199
225.100000	-9.864903	0.586537
225.000000	-9.782283	0.632620
224.900000	-9.653230	0.561689
224.800000	-9.556019	0.587026
224.700000	-9.491578	0.684741
224.600000	-9.320046	0.619640
224.500000	-9.259459	0.612734
224.400000	-9.176717	0.558810
224.300000	-9.046378	0.581049
224.200000	-8.974824	0.506159
224.100000	-8.857163	0.595109
224.000000	-8.751470	0.630457
223.900000	-8.702108	0.591349
223.800000	-8.581638	0.660616
223.700000	-8.494439	0.668501
223.600000	-8.434498	0.604029
223.500000	-8.261414	0.553081
223.400000	-8.187459	0.567313
223.300000	-8.154452	0.593962
223.200000	-8.002265	0.532089
223.100000	-7.936082	0.561653
223.000000	-7.895569	0.607959
222.900000	-7.724269	0.651150
222.800000	-7.680958	0.659204
222.700000	-7.663192	0.594085
222.600000	-7.524241	0.649114
222.500000	-7.486291	0.594876
222.400000	-7.384103	0.543096
222.300000	-7.250228	0.545733
222.200000	-7.233234	0.621512
222.100000	-7.169391	0.613909
222.000000	-7.034239	0.651583
221.900000	-7.002925	0.662051
221.800000	-6.908400	0.641750
221.700000	-6.768059	0.532226
221.600000	-6.759657	0.613528
221.500000	-6.699453	0.620784
221.400000	-6.583727	0.616684
221.300000	-6.561617	0.539232
221.200000	-6.511160	0.544286
221.100000	-6.605676	0.628941
221.000000	-6.611594	0.605557
220.900000	-6.504675	0.663461
220.800000	-6.423493	0.653885
220.700000	-6.374507	0.593973
220.600000	-6.234238	0.522666
220.500000	-6.195435	0.587357
220.400000	-5.241609	2.034914
220.300000	-6.047393	0.554887
220.200000	-5.971866	0.523437
220.100000	-5.968988	0.521570
220.000000	-5.877725	0.596051
219.900000	-5.783411	0.637537
219.800000	-5.754094	0.600633
219.700000	-5.675173	0.650199
219.600000	-5.583038	0.673413
219.500000	-5.577404	0.664959
219.400000	-5.488947	0.630060
219.300000	-5.364151	0.534081
219.200000	-5.362742	0.598806
219.100000	-5.279049	0.534915
219.000000	-5.209785	0.552454
