#lab INRiM MiC b 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 0.03
#d 0.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA	pA
0.000000	0.446070	15.691130
0.200000	-0.884987	10.476590
0.400000	0.491340	12.626370
0.600000	-0.804613	12.865850
0.800000	-1.027481	8.337938
1.000000	1.250177	14.085500
1.200000	-0.027352	13.068800
1.400000	-0.126937	11.545630
1.600000	1.093780	11.473780
1.800000	0.556029	14.688750
2.000000	-0.889155	16.521610
2.200000	-0.282494	16.145150
2.400000	-0.580465	16.153400
2.600000	-0.929676	13.090880
2.800000	1.518053	13.379970
3.000000	-0.058638	13.818840
3.200000	-0.503876	10.277680
3.400000	-0.082848	9.852460
3.600000	0.682333	13.005730
3.800000	0.227321	14.625260
4.000000	-0.324977	7.860494
4.200000	0.691327	11.158570
4.400000	1.034144	12.747370
4.600000	-0.634787	11.380250
4.800000	-0.271197	9.332653
5.000000	1.427261	14.486860
5.200000	1.080430	11.717650
5.400000	-1.530085	15.212970
5.600000	-0.367788	15.848070
5.800000	-0.459525	15.026640
6.000000	0.176587	14.718990
6.200000	-0.212500	12.403040
6.400000	-0.867257	12.550760
6.600000	0.103397	9.993956
6.800000	0.944543	12.664240
7.000000	0.087629	16.360700
7.200000	0.649654	11.771480
7.400000	2.117351	13.092740
7.600000	-0.251693	13.944100
7.800000	-1.052443	9.719092
8.000000	0.896314	12.624440
8.200000	-0.525898	12.283400
8.400000	-0.901135	14.275710
8.600000	1.551221	13.522820
8.800000	0.954121	12.485200
9.000000	-0.579536	14.214720
9.200000	1.579633	11.346950
9.400000	2.117895	12.182320
9.600000	0.663699	14.704280
9.800000	0.161791	12.705430
10.000000	-0.657150	11.750170
10.200000	-0.911667	15.257590
10.400000	1.343837	16.017820
10.600000	0.952527	9.092018
10.800000	0.591648	16.340150
11.000000	1.584025	15.466230
11.200000	1.698061	9.537956
11.400000	1.254019	12.079750
11.600000	0.645241	12.346600
11.800000	0.835828	15.232550
12.000000	0.575541	10.022980
12.200000	0.904324	11.572070
12.400000	-0.590610	10.717600
12.600000	-0.422540	12.617400
12.800000	0.674117	10.324920
13.000000	1.440749	11.345680
13.200000	0.978952	14.605860
13.400000	0.746025	11.559400
13.600000	-1.216707	13.260950
13.800000	-0.020341	13.739150
14.000000	-0.855139	15.349960
14.200000	-0.626512	15.663060
14.400000	1.188605	13.112660
14.600000	0.804369	14.175740
14.800000	0.104995	13.188420
15.000000	0.204765	15.033100
15.200000	0.596332	12.405290
15.400000	0.077701	13.884940
15.600000	0.772926	15.904230
15.800000	0.289782	15.626110
16.000000	-0.275662	11.825860
16.200000	-0.175001	13.221350
16.400000	-0.279790	12.972960
16.600000	0.620098	17.630130
16.800000	0.695008	13.189750
17.000000	-1.234070	12.868710
17.200000	1.793264	15.139370
17.400000	-0.797701	10.621490
17.600000	-0.780387	13.846170
17.800000	-1.322579	15.569910
18.000000	-0.365585	10.535840
18.200000	0.468994	11.372330
18.400000	0.860125	11.363720
18.600000	0.567745	14.460900
18.800000	0.183972	12.761460
19.000000	-1.282744	11.613290
19.200000	-0.163554	12.531710
19.400000	1.125073	16.719610
19.600000	0.987850	10.861790
