#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
140.000000	2.853000	-0.110521	0.821510
140.500000	2.853000	-0.117963	0.965654
141.000000	2.853000	-0.062935	0.935257
141.500000	2.853000	-0.056496	1.102770
142.000000	2.853000	0.044515	0.754852
142.500000	2.853000	0.033536	1.103453
143.000000	2.853000	0.251212	1.011901
143.500000	2.853000	0.244112	0.917148
144.000000	2.853000	0.038456	1.124448
144.500000	2.853000	0.033443	1.149714
145.000000	2.853000	0.116009	1.217692
145.500000	2.853000	0.125496	0.766498
146.000000	2.853000	0.174658	1.176717
146.500000	2.853000	0.219305	1.023348
147.000000	2.853000	0.039331	1.111778
147.500000	2.853000	0.006344	0.994441
148.000000	2.853000	-0.030471	1.055348
148.500000	2.853000	0.061154	1.194982
149.000000	2.853000	0.177564	0.866202
149.500000	2.853000	0.206726	1.222132
150.000000	2.853000	0.154166	0.916780
150.500000	2.853000	0.232343	1.030103
151.000000	2.853000	0.229347	0.956109
151.500000	2.853000	0.207202	1.193266
152.000000	2.853000	0.219594	1.046700
152.500000	2.853000	0.136561	0.914590
153.000000	2.853000	0.078183	1.316973
153.500000	2.853000	-0.047952	0.898454
154.000000	2.853000	-0.098725	1.014964
154.500000	2.853000	-0.275800	1.043970
155.000000	2.853000	-0.081171	1.391286
155.500000	2.853000	0.084376	0.957292
156.000000	2.853000	0.272621	0.817856
156.500000	2.853000	0.317793	1.168232
157.000000	2.853000	0.308408	1.457033
157.500000	2.853000	0.299610	0.724559
158.000000	2.853000	0.368315	1.018438
158.500000	2.853000	0.107902	1.422965
159.000000	2.853000	-0.014877	0.925265
159.500000	2.853000	-0.010031	0.884984
160.000000	2.853000	0.010703	1.100093
160.500000	2.853000	-0.169670	1.157262
161.000000	2.853000	0.088456	1.274879
161.500000	2.853000	0.321477	0.992905
162.000000	2.853000	0.365087	1.155293
162.500000	2.853000	0.030411	1.179824
163.000000	2.853000	0.031411	1.026101
163.500000	2.853000	0.019877	1.065013
164.000000	2.853000	0.343544	1.105306
164.500000	2.853000	0.276275	1.163658
165.000000	2.853000	-0.133344	1.071375
165.500000	2.853000	-0.129374	1.071793
166.000000	2.853000	0.234929	1.202850
166.500000	2.853000	0.230319	1.417747
167.000000	2.853000	0.200036	0.968191
167.500000	2.853000	0.316370	0.781965
168.000000	2.853000	0.461681	1.635289
168.500000	2.853000	0.544078	1.270537
169.000000	2.853000	0.628876	0.787552
169.500000	2.853000	0.732477	1.201264
170.000000	2.853000	0.587239	1.499433
170.500000	2.853000	0.511608	1.140418
171.000000	2.853000	0.461498	0.833127
171.500000	2.853000	0.519995	1.225468
172.000000	2.853000	0.495010	1.637878
172.500000	2.853000	0.927200	0.904149
173.000000	2.853000	1.171484	0.987885
173.500000	2.853000	1.454741	1.314103
174.000000	2.853000	1.470278	1.261990
174.500000	2.853000	1.547810	0.987677
175.000000	2.853000	1.772848	1.019624
175.500000	2.853000	2.180392	1.468280
176.000000	2.853000	2.242528	1.460340
176.500000	2.853000	2.286941	0.718699
177.000000	2.853000	2.090924	1.212902
177.500000	2.853000	2.555052	1.745437
178.000000	2.853000	2.690338	0.937351
178.500000	2.853000	3.017020	0.951549
179.000000	2.853000	3.226197	1.652622
179.500000	2.853000	4.123625	1.413233
180.000000	2.853000	4.353869	0.802156
180.500000	2.853000	4.501163	1.244443
181.000000	2.853000	5.362608	1.609253
181.500000	2.853000	7.833788	1.286284
182.000000	2.853000	9.469177	1.406249
182.500000	2.853000	12.839220	1.157578
183.000000	2.853000	14.001970	1.464235
183.500000	2.853000	16.343520	1.416492
184.000000	2.853000	18.633020	0.987476
184.500000	2.853000	19.585420	1.245591
185.000000	2.853000	20.047230	1.492911
185.500000	2.853000	21.685610	1.306008
186.000000	2.853000	25.574990	1.025612
186.500000	2.853000	28.217250	1.555091
187.000000	2.853000	30.430910	1.526416
187.500000	2.853000	31.856850	1.156387
188.000000	2.853000	33.052370	1.528239
188.500000	2.853000	38.193120	1.453658
189.000000	2.853000	39.495150	1.026801
189.500000	2.853000	40.716860	1.407423
190.000000	2.853000	42.359590	1.391303
190.500000	2.853000	44.774890	1.247170
191.000000	2.853000	48.617820	1.524752
191.500000	2.853000	57.432640	1.315200
192.000000	2.853000	61.291880	1.134531
192.500000	2.853000	64.668700	1.377732
193.000000	2.853000	71.073080	1.327517
193.500000	2.853000	76.737590	1.054027
194.000000	2.853000	80.484090	1.454302
194.500000	2.853000	84.584160	1.399352
195.000000	2.853000	90.148600	1.261225
195.500000	2.853000	98.341740	1.470048
196.000000	2.853000	103.510000	1.255056
196.500000	2.853000	109.713300	1.277699
197.000000	2.853000	116.130300	1.320170
197.500000	2.853000	125.135700	1.259780
198.000000	2.853000	134.606100	1.602775
198.500000	2.853000	140.655800	1.376785
199.000000	2.853000	146.514700	1.135896
199.500000	2.853000	154.234400	1.644778
200.000000	2.853000	162.451600	1.244000
200.500000	2.853000	179.359300	1.333985
201.000000	2.853000	204.624200	1.708157
201.500000	2.853000	226.680100	1.175751
202.000000	2.853000	238.373700	1.372172
202.500000	2.853000	247.631100	1.456602
203.000000	2.853000	258.487500	1.348385
203.500000	2.853000	285.782500	1.542584
204.000000	2.853000	298.115200	1.374217
204.500000	2.853000	307.750300	1.218936
205.000000	2.853000	316.579300	1.497935
205.500000	2.853000	328.272000	1.414742
206.000000	2.853000	359.532800	1.501412
206.500000	2.853000	381.205800	1.445767
207.000000	2.853000	401.675000	1.482415
207.500000	2.853000	419.531300	1.787907
208.000000	2.853000	444.260000	1.016952
208.500000	2.853000	495.706500	1.645267
209.000000	2.853000	519.142400	1.767161
209.500000	2.853000	540.382300	1.208695
210.000000	2.853000	566.448200	1.546902
210.500000	2.853000	649.280800	1.666389
211.000000	2.853000	687.400400	1.433757
211.500000	2.853000	724.468000	1.307808
212.000000	2.853000	766.174100	1.239256
212.500000	2.853000	837.532900	1.840117
213.000000	2.853000	917.252200	1.811228
213.500000	2.853000	961.290200	1.231852
214.000000	2.853000	996.933800	1.750523
214.500000	2.853000	1037.485000	1.638024
215.000000	2.853000	1132.432000	1.540534
215.000000	2.853000	1131.862000	1.441395
214.500000	2.853000	1037.092000	1.509801
214.000000	2.853000	997.213100	1.763138
213.500000	2.853000	961.105000	2.265364
213.000000	2.853000	916.173200	1.440350
212.500000	2.853000	834.351800	1.628352
212.000000	2.853000	765.210300	1.653640
