#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#N 20
#dbm 5
#
#Voltage	Current	SD
#V	pA	pA
84.000000	20410.260000	49.778220
83.000000	16419.020000	1.881542
82.000000	12841.070000	6.072228
81.000000	9860.520000	8.165205
80.000000	7822.717000	6.661660
79.000000	6221.318000	1.270094
78.000000	4892.075000	4.032921
77.000000	3817.071000	1.051912
76.000000	2941.671000	0.521834
75.000000	2269.042000	0.637994
74.000000	1707.208000	0.581200
73.000000	1264.366000	0.470600
72.000000	929.027100	0.342777
71.000000	682.791500	0.254071
70.000000	500.031100	0.094027
69.000000	354.709800	0.101073
68.000000	254.251500	0.095061
67.000000	174.379700	0.047774
66.000000	123.406500	0.054752
65.000000	80.374570	0.037264
64.000000	54.896040	0.032837
63.000000	34.416980	0.023673
62.000000	20.626090	0.019228
61.000000	13.372180	0.033959
60.000000	7.756963	0.038737
59.000000	4.431368	0.025536
58.000000	2.266588	0.041405
57.000000	0.661724	0.026875
56.000000	0.309724	0.032903
55.000000	0.116813	0.032837
54.000000	0.033357	0.028539
53.000000	-0.011354	0.025064
52.000000	-0.032408	0.032079
51.000000	-0.052490	0.033248
50.000000	-0.047261	0.032517
49.000000	-0.054415	0.028124
48.000000	-0.049571	0.033294
47.000000	-0.040007	0.030492
46.000000	-0.047819	0.031568
45.000000	-0.051031	0.028003
44.000000	-0.048710	0.031511
43.000000	-0.036451	0.028196
42.000000	-0.043270	0.028059
41.000000	-0.042712	0.042431
40.000000	-0.046877	0.025871
39.000000	-0.037950	0.029586
38.000000	-0.034111	0.029644
37.000000	-0.041264	0.032081
36.000000	-0.041983	0.027769
35.000000	-0.027028	0.026684
34.000000	-0.028021	0.032738
33.000000	-0.031284	0.024997
32.000000	-0.037535	0.025851
31.000000	-0.038477	0.028577
30.000000	-0.030757	0.019223
29.000000	-0.023756	0.023411
28.000000	-0.024364	0.018533
27.000000	-0.022256	0.033569
26.000000	-0.030706	0.024680
25.000000	-0.025792	0.026195
24.000000	-0.023786	0.028483
23.000000	-0.021375	0.027146
22.000000	-0.012185	0.028776
21.000000	-0.017859	0.020107
20.000000	-0.018670	0.021388
19.000000	-0.015427	0.029471
18.000000	-0.014060	0.028059
17.000000	-0.011628	0.023340
16.000000	-0.008740	0.021832
15.000000	-0.008274	0.018859
14.000000	-0.010919	0.022000
13.000000	-0.004141	0.022104
12.000000	-0.000544	0.026846
11.000000	-0.000746	0.018683
10.000000	-0.005904	0.019512
9.000000	-0.002965	0.020469
8.000000	-0.003452	0.023931
7.000000	-0.004678	0.021779
6.000000	-0.006339	0.021027
5.000000	-0.000189	0.021750
4.000000	-0.003006	0.018684
3.000000	-0.002023	0.027766
2.000000	-0.006127	0.023767
1.000000	0.002222	0.019644
0.000000	0.005940	0.023411
